name, value

language, Deutsch
lang, de

language-en, Englisch
language-de, Deutsch

general-language, Sprache
general-player, Spieler
general-player-plural, Spieler
general-location, Standort
general-location-plural, Standorte
general-spy, Spion

application-settings-label, Anwendung
application-settings-save, Speichern und neu starten
application-settings-help, Hilfe

player-information-label, Spielerinformationen
player-information-numlabel, Anzahl Spieler

game-information-label, Spiel Informationen
game-information-endwatch, Stoppuhr (in Sekunden)
game-information-start, Spiel starten
game-information-pause, Spiel pausieren
game-information-resume, Spiel fortsetzen
game-information-end, Spiel beenden

window-reveal-role, Deine Rolle ist
window-reveal-spy, Du bist der Spion!
window-reveal-hidden, Der Standort ist für dich verborgen.
window-reveal-show, Gedrückt halten um informationen zu zeigen
window-reveal-close, Diese Spieler Karte schließen
window-reveal-ready, Klicken um das Spiel zu starten
